,Title,Summary,Keywords,Publish_Date,Polarity,Subjectivity,id,Sentiment
0,"100 Days Into Trump's Second Term: What's Changed With Tariffs, Immigration and More","President Trump was sworn in for a second term in January intent on transforming America and its place in the world.
In Mr. Trump’s view, the world is divided into two kinds of countries: those that “have the cards” and those that don’t.
Tellingly, on his first trip abroad in his new term, for Pope Francis’ funeral, Mr. Trump held one detailed conversation, with Mr. Zelensky.
“Come here often?” Mr. Musk and Mr. Trump were about two weeks into a presidential partnership that had turned into a bureaucratic bull rush.
Mr. Trump has for the most part been fine having Mr. Musk around, and clearly Mr. Musk likes being there.","changed, days, american, china, second, musk, federal, trumps, united, whats, trump, 100, tariffs, states, mr, immigration, president, term",2025-04-28,0.0524458913000579,0.3626733287931202,1,Positive
1,"After the Arrests and Bullets, Trump Takes on Second Term With a New Fervor","But where Roosevelt used his early weeks to build a new edifice, Mr. Trump has used his to tear it down.
In effect, he is trying to repeal the liberal social compact and international system that Roosevelt constructed, “unwinding neoliberalism,” as one aide put it.
Now the scar tissue is deep, the guardrails are gone and the sense of righteous mandate is palpable.
The trials and tribulations of the past few years, including the 2024 assassination attempt in Butler, Pa., took time to process, Mr. Jeffress added.
“But I think he came to the conclusion — the right conclusion — that God has a purpose for him.”","fervor, days, trials, used, presidential, mr, jeffress, takes, arrests, roosevelt, path, trump, second, bullets, president, term",2025-04-30,0.1615937702144598,0.428173359207842,2,Positive
2,"In Alabama Commencement Speech, Trump Mixes In the Political","He urged the audience of college students not to think they were too young to accomplish great things, before waxing on about tariffs.
“Don’t try to be someone else,” he implored them, after attacking due process for unauthorized immigrants.
And he told them not to think of themselves as victims, before diverting into how the 2020 election was “rigged” against him.
On Thursday night, President Trump addressed the 2025 graduates of the University of Alabama, vacillating between campaign rally material and a commencement speech as he used his past political grievances to encourage students to fight for their futures.
Our heroes are the ones who take charge of their own destiny, make their own luck and determine their own fate, despite the odds.”","commencement, mixes, think, encourage, used, speech, victims, told, students, young, worldin, trump, political, alabama, america",2025-05-02,0.1763157894736842,0.4662280701754386,3,Positive
3,Trump Posts an Image of Himself as Pope,"President Trump on Tuesday had a ready answer when reporters asked who he would like to see become the next supreme pontiff.
The origins of the photo were not immediately clear, and Mr. Trump did not include any commentary in his post.
He shared the image on Truth Social, Instagram and X, and the White House reposted it on its official Instagram and X accounts.
The idea of “Pope Trump,” as some people called it, was immediately polarizing.
Several commenters on Truth Social, which is run by a company controlled by Mr. Trump, called the post sacrilegious and said it fueled misinformation.","posts, pope, reporters, image, white, social, x, instagram, trump, post, mr, truth",2025-05-03,0.0285714285714285,0.1845238095238095,4,Neutral
4,Trump Says He Wants Alcatraz Restored as a Prison,"President Trump said on Sunday that he wanted federal law enforcement agencies to work on restoring Alcatraz, now a museum, to a functioning maximum-security prison.
Repeating one of his constant refrains that the United States had become a dangerous, lawless place, Mr. Trump wrote on social media that he wanted Alcatraz, an island in San Francisco Bay, to be enlarged and rebuilt “to house America’s most ruthless and violent offenders.
We will no longer be held hostage to criminals, thugs, and judges that are afraid to do their job and allow us to remove criminals, who came into our country illegally.”It was not immediately clear how his musing could be put into action, given that any such project would be extraordinarily expensive and that the administration already planned to cut billions of dollars from the Justice Department budget.
Mr. Trump said he had instructed the Bureau of Prisons, the Justice Department and the Homeland Security Department to work on his idea, along with the F.B.I.
— a curious choice given that the bureau plays no role in incarcerating people convicted of crimes.","department, wrote, justice, criminals, work, given, bureau, alcatraz, wants, trump, wanted, restored, prison",2025-05-04,-0.258974358974359,0.6064102564102565,5,Negative
5,Carney Tells Trump Canada ‘Is Not for Sale’ During White House Visit,"When I looked at that — I said, that’s the way it was meant to be.” “As you know from real estate, there are some places that are never for sale.” “That’s true.” “We’re sitting in one right now.
Buckingham Palace that you visited as well.” “That’s true.” “And having met with the owners of Canada over the course of the campaign, last several months, it’s not for sale.
1 thing that’s important.
Secondly, we are the largest client of the United States in the totality of all the goods.
So we are the largest client of the United States.","house, doable, thing, visit, line, white, thats, united, way, carney, tells, trump, true, sale, states, canada",2025-05-06,0.1991904761904761,0.5510238095238096,6,Positive
11,Nikole Hannah-Jones: Trump Is Erasing Black History – Mother Jones,"President Donald Trump’s second term has swung a wrecking ball at diversity, equity, and inclusion policies and programs throughout the country.
Few writers seem better suited to explain this unique moment in America than Nikole Hannah-Jones.
A New York Times journalist and Howard University professor, Hannah-Jones has spent years studying and shaping compelling—and at times controversial—narratives about American history.
“We haven’t seen the federal government weaponized against civil rights in this way” since the turn of the century, Hannah-Jones says.
Subscribe to Mother Jones podcasts on Apple Podcasts or your favorite podcast app.","nikole, erasing, trump, black, trumps, times, rights, jones, programs, policies, mother, hannahjones, podcasts, history, podcast",2025-05-07,0.122957839262187,0.441501976284585,12,Positive
10,"Trump Is Eager to Defund Harvard, Yet Publicly Subsidized Hate Groups Get a Pass","According to a 2024 report from Media Matters, Martin has called himself a “big admirer” of the nonprofit group.
Media Matters wrote:Martin also repeatedly hosted VDare leader and white nationalist Peter Brimelow on his now-defunct radio program The Ed Martin Movement.
In 2018, too, the Trump administration reinstated the tax-exempt status of white nationalist Richard Spencer‘s National Policy Institute, which had its status revoked automatically for failing to file mandatory 990 tax returns for three years running.
It is telling that a president who never questioned the tax-exempt status of white nationalist groups is now suggesting his IRS might take a hard look at Harvard’s.
He’s Black.”Taylor’s New Century Foundation also appears to be inactive these days, and an entirely unrelated nonprofit exists under the same name.","taylor, publicly, vdare, groups, law, harvard, defund, pass, subsidized, nationalist, trump, martin, nonprofit, president, white, status, taxexempt, eager, hate",2025-05-07,0.0405526244588744,0.3194189664502164,11,Neutral
9,North Carolina GOP Judge Finally Concedes After Six-Month Effort to Steal Election Fails – Mother Jones,"On Monday, however, federal district court Judge Richard Myers, who was appointed by Donald Trump, overruled the state courts in North Carolina and ordered the state board of election to certify Riggs’ election.
Riggs’ victory maintains the 5–2 Republican majority on the state Supreme Court.
“We’ve knocked over the first domino that we need to for Democrats to take back the North Carolina Supreme Court in 2028,” Riggs told me after the election.
Even though Griffin was ultimately unsuccessful, his six-month effort to overturn the election did a tremendous amount of damage to the democratic process.
That will go a long way toward making election subversion the norm rather than the exception, especially in states, like North Carolina, where Republicans control the top courts and election boards.","supreme, votes, state, judge, court, carolina, griffin, sixmonth, jones, overturn, north, gop, mother, riggs, finally, fails, election, steal",2025-05-07,0.1447698135198135,0.5687572843822843,10,Positive
8,DOGE Killed Dozens of Grants That Supported Women Workers,"The grants were administered by the Women’s Bureau, an office created by congressional mandate in 1920 to support women’s employment.
(Spokespeople for DOL, the Women’s Bureau, and the White House did not immediately respond to requests for comment.)
Last year, the Women’s Bureau awarded $6 million in WANTO funding to nine organizations, the department’s largest-ever award; the year before that, it awarded $5 million to seven groups.
Spencer, who runs the formerly Women’s Bureau–funded construction program in North Carolina, expects DOGE’s latest cuts to come back to haunt the Trump administration.
Correction, May 8: This article has been revised to reflect that news of the Women’s Bureau grant cuts was first reported by Bloomberg Law.","grants, supported, bureau, womens, killed, construction, dol, department, grant, programs, workers, dozens, women, doge, program",2025-05-07,0.0984605956292703,0.4611760027121472,9,Positive
